								Sun		Mon		Tue		Wed		Thu		Fri		Sat							
Merged-03-oct.tsv:77e26270-af8f-102f-877f-681ba7d72f0c	J. David Jewelry	613 N Aspen Ave. 	Broken Arrow	OK	74012	USA	(918)_251-6300			10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	5:00 PM	http://www.jdavidjewelry.com/	http://www.yelp.com/biz/j-david-jewelry-broken-arrow-2		http://local.yahoo.com/info-18516646-j-david-jewelry-broken-arrow	https://plus.google.com/108307768421426493265/about?gl=in&hl=en	https://www.facebook.com/jdavidjewelry?fref=ts
Merged-03-oct.tsv:77e38360-c616-102f-af36-68c3363e61cd	Motorcars Tire Center	1815 St. Clair Ave. 	Cleveland	OH	44114	USA	(216)_781-0884	closed	closed	7:30 AM	5:30 PM	7:30 AM	5:30 PM	7:30 AM	5:30 PM	7:30 AM	5:30 PM	7:30 AM	5:30 PM	closed	closed	http://www.motorcarstirecenter.com/	http://www.yelp.com/biz/motorcars-downtown-tire-and-service-center-cleveland		http://local.yahoo.com/info-37602438-motorcars-bridgestonefirestone-tire-center-cleveland	https://plus.google.com/109349468840393678360/about?gl=in&hl=en	
Merged-03-oct.tsv:77e92c80-c5c5-102f-bfbe-793f1b2195d1	Delta Sun Peaks Resort	3240 Village Way 	Sun Peaks	BC	V0E 5N0	Canada	(866) 552-5516															http://www.deltahotels.com/en/hotels/british-columbia/delta-sun-peaks-resort/	http://www.yelp.ca/biz/delta-sun-peaks-resort-sun-peaks	http://www.tripadvisor.com/ShowUserReviews-g499150-d225458-r138363566-Delta_Sun_Peaks_Resort-Sun_Peaks_British_Columbia.html	http://travel.yahoo.com/p-hotel-550739-delta_sun_peaks_resort-i	https://plus.google.com/112260956314767120623/about?gl=in&hl=en	https://www.facebook.com/deltahotels
Merged-03-oct.tsv:77edd2b0-c60d-102f-bc72-972e6081c952	Massage Envy Raleigh	8202 Renaissance Parkway 	Durham	NC	27713	USA	(919)_493-3689	10:00 AM	6:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	www.massageenvy.com	http://www.yelp.com/biz/massage-envy-durham		http://local.yahoo.com/info-41580052	https://plus.google.com/113081445760111079433/about?gl=US&hl=en	https://www.facebook.com/pages/Massage-Envy/146896148700879?fref=ts
Merged-03-oct.tsv:77f47580-c625-102f-9dff-ad446e617145	Peachy Berry	8261 Southwest Wilsonville Road 	Wilsonville	OR	97070	USA	(503)_427-0812	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	http://www.peachyberry.com/	http://www.yelp.com/biz/peachy-berry-wilsonville		http://local.yahoo.com/info-84149173-peachy-berry-wilsonville	https://plus.google.com/115422305309347954724/about?gl=in&hl=en	https://www.facebook.com/peachyberry
Merged-03-oct.tsv:79797930-c5b4-102f-b7c8-5998b6f2a8ae	The Cove Trattoria	7001 N Scottsdale Rd. Suite 184	Scottsdale	AZ	85253	USA	(480)_951-8273	5:00 PM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	http://www.thecovescottsdale.com/	http://www.yelp.com/biz/the-cove-trattoria-paradise-valley	http://www.tripadvisor.com/Restaurant_Review-g31350-d335294-Reviews-Cove_Trattoria-Scottsdale_Arizona.html	http://local.yahoo.com/info-20056939-the-cove-trattoria-scottsdale	https://plus.google.com/113889280348823235067/about?gl=in&hl=en	https://www.facebook.com/thecovescottsdale
Merged-03-oct.tsv:78d36100-b072-102f-a98e-7f66a4964801	Babydollz Lingerie	41377 Margarita Rd. Suite F105	Temecula	CA	92591	USA	(951)_719-3655	10:00 AM	6:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	6:00 PM	http://www.babydollzlingerie.com	http://www.yelp.com/biz/babydollz-lingerie-temecula			https://plus.google.com/116718170484674243186/about?gl=US&hl=en	https://www.facebook.com/BabyDollzInc?ref=ts&fref=ts
Merged-03-oct.tsv:ba6ddc20-b0d7-102f-bf9f-5f631db6429e	Olde City Grill	967 Garnet Ave. 	Pacific Beach	CA	92109	USA	(858) 483-4624															http://www.cirossd.com/	http://www.yelp.com/biz/olde-city-grill-pacific-beach			https://plus.google.com/105810018681371624273/about?gl=in&hl=en	https://www.facebook.com/CirosPB
Merged-03-oct.tsv:ba6f0db0-c659-102f-bf0a-2952e7cf7884	Toyota Sports Center	555 N Nash St. 	El Segundo	CA	90245	USA	(310) 535-4400	12:30 PM	3:00 PM	8:30 AM	11:30 AM	8:30 AM	11:30 AM	8:30 AM	11:30 AM	8:30 AM	11:30 AM	2:15 PM	5:00 PM	in	in	www.toyotasportscenter.com/	http://yelp.com/biz/toyota-sports-center-el-segundo/		http://local.yahoo.com/info-90545754	http://maps.google.com/maps/place?cid=13278373214431977377	https://www.facebook.com/pages/Toyota-Sports-Center/117165374967484
Merged-03-oct.tsv:ba71db51-b0f9-102f-bf9f-fdf027710348	Portfolio Coffeehouse	2300 E 4th St. 	Long Beach	CA	90814	USA	(562) 434-2486	6:30 AM	10:00 PM	5:30 AM	10:00 PM	5:30 AM	10:00 PM	5:30 AM	10:00 PM	5:30 AM	10:00 PM	5:30 AM	10:00 PM	6:30 AM	10:00 PM	http://portfoliocoffeehouse.com/	http://www.yelp.com/biz/portfolio-coffeehouse-long-beach		http://local.yahoo.com/info-20588212-portfolio-coffee-house-llc-long-beach	http://maps.google.com/maps/place?q=Portfolio+Coffeehouse+-+Long+Beach,+CA&hl=en&cid=1119536876440999620	https://www.facebook.com/portfoliocoffeehouse
Merged-03-oct.tsv:ba724cd0-c5bb-102f-bdd3-558ed49c0074	Clement Street Bar & Grill	708 Clement Street 	San Francisco	CA	94118	USA	(415) 386-2200	4:30 PM	9:00 PM			4:30 PM	9:30 PM	4:30 PM	9:30 PM	4:30 PM	9:30 PM	4:30 PM	9:00 PM	4:30 PM	9:00 PM		http://www.yelp.com/biz/aF5m4YPTb0Boxw3IFz255Q	http://www.tripadvisor.in/Restaurant_Review-g60713-d526542-Reviews-Clement_Street_Bar_and_Grill-San_Francisco_California.html	http://local.yahoo.com/info-21365632-clement-street-bar-grill-san-francisco?csz=San+Francisco%2C+CA	http://maps.google.com/maps/place?q=Clement+street+bar+%26+grill+San+Francisco&hl=en&cid=3293182253620407948	https://www.facebook.com/pages/Clement-Street-Bar-Grill/171513889544830
Merged-03-oct.tsv:ba80bc30-c5f1-102f-b3bd-30cb08572d72	Hilton Cleveland East Beachwood	3663 Park E Dr. 	Beachwood	OH	44122	USA	(216) 464-5950	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	http://www1.hilton.com/en_US/hi/hotel/CLECEHF-Hilton-Cleveland-East-Beachwood-Ohio/index.do	http://www.yelp.com/biz/hilton-cleveland-east-beachwood-hotel-beachwood#query:hilton%20hotels	http://www.tripadvisor.com/Hotel_Review-g50065-d217648-Reviews-Hilton_Cleveland_East_Beachwood-Beachwood_Ohio.html	http://local.yahoo.com/info-15607956-hilton-cleveland-eastbeachwood-beachwood	https://plus.google.com/102486596079011559421/about?gl=in&hl=en	https://www.facebook.com/pages/Hilton-Cleveland-EastBeachwood-OH/256181826967?fref=ts
Merged-03-oct.tsv:ba87a390-c5fd-102f-b5ef-34612c50057e	Joshua M Shelton Photography	1130 S. Flower St. #312 	Los Angeles	CA	90015	USA	(317) 522-6206	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	www.joshuamshelton.com	http://gr.pn/w2aRHe		http://local.yahoo.com/info-91542863-joshua-michael-shelton-photography-los-angeles	http://maps.google.com/maps/place?cid=2033788165184808993	
Merged-03-oct.tsv:ba8e7960-c655-102f-bffb-df42f44fe531	The Azteca Restaurant	901 Milwaukee Ave. 	South Milwaukee	WI	53172	USA	(414) 766-0450	11:00 AM	8:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	http://www.theaztecarestaurant.com/	http://gr.pn/yglJXr	http://www.tripadvisor.com/Restaurant_Review-g60288-d914267-Reviews-Azteca_Restaurant_LLC-South_Milwaukee_Wisconsin.html	http://local.yahoo.com/info-43761110	http://gr.pn/Atus3s	https://www.facebook.com/aztecamilwaukee?ref=ts
Merged-03-oct.tsv:ba9111b0-c5b6-102f-a7bf-913616380319	Celebrity Looks	12262 Ventura Blvd. Suite 206	Studio City	CA	91604	USA	(818) 766-7600			11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM			11:00 AM	6:00 PM	10:00 AM	2:00 PM	http://www.celebritylookslaser.com/index.html	http://www.yelp.com/biz/celebrity-looks-laser-center-studio-city-2			https://plus.google.com/102406020622429848824/about?gl=in&hl=en	https://www.facebook.com/pages/Celebrity-Looks-Laser-Center/227946313941077?fref=ts
Merged-03-oct.tsv:baa693b0-c5f1-102f-bf9b-b70581a46fa7	Hilton Garden Inn	14850 Kruse Oaks Dr. 	Lake Oswego	OR	97035	USA	(503) 684-8900	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	http://www.llghotels.com/hilton-garden-inn-lake-oswego-oregon	http://www.yelp.com/biz/hilton-garden-inn-lake-oswego#query:hilton%20garden%20hotel	http://www.tripadvisor.com/Hotel_Review-g51939-d224569-Reviews-Hilton_Garden_Inn_Portland_Lake_Oswego-Lake_Oswego_Clackamas_County_Oregon.html	http://local.yahoo.com/info-21907934-hilton-garden-inn-portlandlake-oswego-lake-oswego;_ylt=Ann0Wc9jiEbM0X8la.bDPvyHNcIF;_ylv=3?csz=Lake+Oswego%2C+OR	https://plus.google.com/112543016820096136624/about?gl=in&hl=en	https://www.facebook.com/HGIPDX?ref=ts&fref=ts
Merged-03-oct.tsv:baa88f20-c5a7-102f-b767-fc2489bb2d54	Herbal Mineral	538 El Camino Real 	San Carlos	CA	94070	USA	(650) 508-8790			10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	7:00 PM	http://www.herbalorganicspa.com/	http://www.yelp.com/biz/9bvnMGe8uAZuhtWoAhTm0A		http://local.yahoo.com/info-98657499-herbal-atval-organic-san-carlos	https://plus.google.com/116847755330296647231/about?hl=en	
Merged-03-oct.tsv:baaaed60-c5d9-102f-861f-85e4da98ff96	Fox Theatre	2236 Queen St. E 	Toronto	ON	M4E 1G2	Canada	(416) 691-7330			7:00 PM	11:00 PM	7:00 PM	11:00 PM	7:00 PM	11:00 PM	7:00 PM	11:00 PM	7:00 PM	11:00 PM	2:00 PM	11:00 PM	http://www.foxtheatre.ca/	http://www.yelp.ca/biz/fox-theatre-toronto			https://plus.google.com/102698730460906839518/about?hl=en	https://www.facebook.com/thefoxtheatre
Merged-03-oct.tsv:bac06140-afcc-102f-90cf-8610a051fe63	Garden District Book Shop	2727 Prytania St. 	New Orleans	LA	70130	USA	(504) 895-2266	10:00 AM	4:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	http://www.gardendistrictbookshop.com/	http://bit.ly/A5jshP		http://local.yahoo.com/info-18152249-garden-district-book-shop-new-orleans	http://bit.ly/xEForU	https://www.facebook.com/pages/Garden-District-Book-Shop/48309748467?ref=ts&
Merged-03-oct.tsv:bac4d500-c63c-102f-937f-4fc08ceff384	Rockin' Running Tours	778 N McLean Blvd. 	Memphis	TN	38107	USA	(901) 569-4272	5:00 AM	8:00 PM	5:00 AM	8:00 PM	5:00 AM	8:00 PM	5:00 AM	8:00 PM	5:00 AM	8:00 PM	5:00 AM	8:00 PM	5:00 AM	8:00 PM	http://www.rockinrunningtours.com/index.html		http://www.tripadvisor.com/Attraction_Review-g55197-d1752444-Reviews-Rockin_Running_Tours-Memphis_Tennessee.html			https://www.facebook.com/pages/Rockin-Running-Tours/146449155386028
Merged-03-oct.tsv:bac92940-b0dc-102f-bf8d-dbc751bbaa28	Veritas Prep	22741 Pacific Coast Highway  Suite 300	Malibu	CA	90265	USA	(310) 456-8716															www.veritasprep.com	http://www.yelp.com/biz/veritas-prep-elite-gmat-preparation-malibu		http://local.yahoo.com/info-64082782-veritas-prep-malibu	http://maps.google.com/maps/place?cid=12703070128068697720	https://www.facebook.com/VeritasPrep
Merged-03-oct.tsv:bacb73b1-b20f-102f-adff-e5821d1479e9	Pleasure Head Salon	1634 Seabright Ave. 	Santa Cruz	CA	95062	USA	(831) 423-0227			9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM			http://pleasureheadsalon.tumblr.com/	http://gr.pn/tJWGkw		http://gr.pn/tP6d01	https://plus.google.com/101190340530750874091/about?gl=in&hl=en	https://www.facebook.com/pages/Pleasure-Head-Salon/134535279953?fref=ts
Merged-03-oct.tsv:bad02f60-c62b-102f-a9c0-26c4867f34a0	Po's Dumpling Bar	1715 W. 39th St. null	Kansas City	MO	64111	USA	(816) 931-5991	12:00 PM	10:00 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	12:00 PM	10:00 PM	http://posdumplingandnoodle.com/	http://goo.gl/nP3YD	http://www.tripadvisor.com/Restaurant_Review-g44535-d942466-Reviews-Po_s_Dumpling_Bar-Kansas_City_Missouri.html	http://local.yahoo.com/info-43502454-po-s-dumpling-bar-kansas-city?csz=Kansas+City%2C+MO	http://g.co/maps/thffh	https://www.facebook.com/PosDumplingBar?fref=ts&rf=168758853138620
Merged-03-oct.tsv:bad54221-b127-102f-a3ff-c1f461000703	All Rivers & Saltwater Charters	7001 seaview ave nw ste p4	Seattle	WA	98117	USA	(425) 736-8920	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	www.fishinginseattle.com	http://www.yelp.com/biz/all-rivers-and-saltwater-charters-seattle	http://gr.pn/KhWecz		https://plus.google.com/107536246434205981370/about?gl=in&hl=en	
Merged-03-oct.tsv:bad63720-c65d-102f-99fe-bbbde0ca6469	Yogurt Crazy	300 ny ave	huntington	NY	11743	USA	(631) 629-4533	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	12: AM	10:30 AM	12: AM	http://yogurtcrazyonline.com/	http://gr.pn/tLbtAN		http://local.yahoo.com/info-78578036-yogurt-crazy-huntington	http://gr.pn/9YoU5P	https://www.facebook.com/yogurtcrazy
Merged-03-oct.tsv:bada0f40-b086-102f-bfdb-0bcdd723e37f	Chlo? Bistrot	3515 NE 45th St. 	Seattle	WA	98105	USA	(206) 257-0286	5:00 PM	9:00 PM			5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:30 PM	5:00 PM	10:30 PM	http://www.chloebistrot.com	http://bit.ly/olyoi5	http://www.tripadvisor.com/Restaurant_Review-g60878-d1905909-Reviews-Chloe_Bistro-Seattle_Washington.html		https://plus.google.com/114092416453529772320/about?gl=in&hl=en	https://www.facebook.com/pages/Chloe-Bistro/185777184836224?fref=ts
Merged-03-oct.tsv:bae941b0-b3cc-102f-9bf3-587c4fe32c29	Royal Gorge Zip Line Tours	45045 W US Hwy. 50 	Canon City	CO	81212	USA	(719) 275-7238	8:00 AM	6:30 AM	8:00 AM	6:30 AM	8:00 AM	6:30 AM	8:00 AM	6:30 AM	8:00 AM	6:30 AM	8:00 AM	6:30 AM	8:00 AM	6:30 AM	www.royalgorgerafting.net	http://gr.pn/xf1w9N	http://gr.pn/wRKPjs		https://plus.google.com/105363344398499857034/posts	https://www.facebook.com/RoyalGorgeZipLineTours?fref=ts
Merged-03-oct.tsv:bae94e60-c5b7-102f-bb53-ea9422ed2821	Chameleon Ink Tattoo & Body Piercing	1146 North State Street 	Bellingham	WA	98225	USA	(360) 676-7330	12:00 PM	5:00 PM	12:00 PM	5:00 PM	11:00 AM	8:00 PM	11:00 AM	8:00 PM	11:00 AM	8:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	http://www.chameleoninktattoo.com	http://www.yelp.com/biz/chameleon-ink-tattoo-bellingham		http://local.yahoo.com/info-22198502-chameleon-ink-tattoo-body-piercing-bellingham	https://plus.google.com/101301104592549432930/about?hl=en	https://www.facebook.com/ChameleonInk
Merged-03-oct.tsv:baec8fd0-c611-102f-9fbf-787cf29c0312	Metro Eye	301 N Water St. 	Milwaukee	WI	53202	USA	(414) 727-5888			9:00 AM	6:00 PM	9:00 AM	5:30 PM	9:00 AM	5:30 PM	9:00 AM	6:00 PM	8:00 AM	5:00 PM	9:00 AM	3:00 PM	www.metroeye.biz	http://www.yelp.com/biz/metro-eye-milwaukee		http://local.yahoo.com/info-77535945-jankowski-amy-doctor-metro-eye-milwaukee	http://g.co/maps/bcfhv	https://www.facebook.com/metroeyemke
Merged-03-oct.tsv:baf05210-c59d-102f-bfff-09e783060598	Another Side Of san diego tours	308 G St. null	San Diego	CA	92101	USA	(619) 239-2111	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	http://anothersideofsandiegotours.com/	http://www.yelp.com/biz/another-side-of-san-diego-tours-san-diego	http://www.tripadvisor.com/Attraction_Review-g60750-d1103480-Reviews-Another_Side_Of_San_Diego_Tours-San_Diego_California.html	http://local.yahoo.com/info-42606227-another-side-tours-san-diego	https://plus.google.com/107079573408989202987/about?hl=en	http://local.yahoo.com/info-42606227-another-side-tours-san-diego
Merged-03-oct.tsv:baf0d260-c60d-102f-b6bb-0bf8536f4e48	Massey Hall	178 Victoria St. 	Toronto	ON	M5B 1T7	Canada	(416) 872-5255															http://www.roythomson.com/rent_mh	http://www.yelp.com/biz/massey-hall-toronto	http://www.tripadvisor.com/Attraction_Review-g155019-d556448-Reviews-Massey_Hall-Toronto_Ontario.html		http://bit.ly/z1ROCC	https://www.facebook.com/soundboardTO
Merged-03-oct.tsv:baf4e2b0-c65d-102f-b3a7-607403a6f89b	Yogurt Crazy	2195 Jericho Tpke. 	Commack	NY	11725	USA	(631) 486-6370	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	12:00 AM	11:00 AM	12:00 AM	http://yogurtcrazyonline.com/	http://www.yelp.com/biz/yogurt-crazy-commack			https://plus.google.com/104214703888885346389/about?hl=en	https://www.facebook.com/pages/Yogurt-Crazy/125332797552579
Merged-03-oct.tsv:baf82130-c614-102f-9b53-77551cfe1558	MiZu Restaurant	6768 Hickory Flat Hwy.  Suite 116	Canton	GA	30115	USA	(770) 479-7738	11:00 AM	9:30 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:30 PM	11:00 AM	10:30 PM	http://www.themizu.com/	http://gr.pn/qWoIko		http://local.yahoo.com/info-73064356-mizu-canton	https://plus.google.com/106202411198405053462/about?hl=en	http://www.facebook.com/pages/Mizu-Asian-Cuisine/167785716584417
Merged-03-oct.tsv:baff1b71-b0de-102f-8d7d-7cfdcf096de0	Terranea L.A.'s Oceanfront Resort	100 Terranea Way 	Palos Verdes	CA	90275	USA	(310) 265-2800	5:00 PM	9:00 PM					5:30 PM	10:00 PM	5:30 PM	10:00 PM	5:30 PM	10:00 PM	5:30 PM	10:00 PM	terranea.com	http://www.yelp.com/biz/juzVI8XmlU8mYNLrgSWfeA	http://www.tripadvisor.com/Hotel_Review-g32944-d1057964-Reviews-Terranea_Resort-Rancho_Palos_Verdes_California.html	http://local.yahoo.com/info-66754868	https://plus.google.com/100166518464354291159/about?hl=en	https://www.facebook.com/Terranea
Merged-03-oct.tsv:bb0785b0-b077-102f-affb-ccc7cbc30ec8	Hey Cafe	4332 Magazine St. 	New Orleans	LA	70115	USA	(504) 891-8682	7:00 AM	11:00 PM	7:00 AM	11:00 PM	7:00 AM	11:00 PM	7:00 AM	11:00 PM	7:00 AM	11:00 PM	7:00 AM	8:00 PM	7:00 AM	8:00 PM	www.heycafe.biz	http://gr.pn/GRqm0H			http://gr.pn/GRqld4	https://www.facebook.com/pages/Hey-Cafe/118461224877101?fref=ts
Merged-03-oct.tsv:bb0b65a0-b01c-102f-a66d-1926c0b73a1a	Hanger 18	4726 N Lincoln Ave. 	Chicago	IL	60625	USA	(773) 275-3349	11:00 AM	5:00 PM	11:00 AM	6:00 PM	11:00 AM	7:00 PM	11:00 AM	7:00 PM	11:00 AM	7:00 PM	10:00 AM	7:00 PM	11:00 AM	6:00 PM	http://www.hanger18chicago.com/index.html	http://www.yelp.com/biz/ptfspKt_byJZPAPH_rZdTA		http://local.yahoo.com/info-33075009-hanger-18-chicago	http://bit.ly/rY5piI	https://www.facebook.com/hanger18chicago?fref=ts
Merged-03-oct.tsv:bb0e93f0-c657-102f-a2b7-dfaf4f394588	The New Nupur	589 Bank St. 	Ottawa	ON	K1S 3T4	Canada	(613) 230-4454	5:00 PM	10:00 PM	11:30 AM	2:00 PM	11:30 AM	2:00 PM	11:30 AM	2:00 PM	11:30 AM	2:00 PM	11:30 AM	2:00 PM	5:00 PM	10:00 PM	www.thenewnupur.com	http://www.yelp.com/biz/new-nupur-ottawa	http://www.tripadvisor.com/Restaurant_Review-g155004-d785759-Reviews-New_Nupur-Ottawa_Ontario.html		http://gr.pn/I5D1d4	https://www.facebook.com/pages/The-New-Nupur/300133533786?fref=ts
Merged-03-oct.tsv:bb117460-c5fa-102f-bfeb-c1b90ec805b1	JagerHaus	833 Conti St. 	New Orleans	LA	70112	USA	(504) 525-9200	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	http://www.jager-haus.com/	http://gr.pn/H7Aiy9	http://gr.pn/zJWh8k	http://local.yahoo.com/info-60991046-jager-haus-new-orleans	https://plus.google.com/102580128453934400064/about?hl=en	http://www.facebook.com/jagerhaus.nola
Merged-03-oct.tsv:bb27e980-b078-102f-bda3-dd9bb8541dec	Alamo Drafthouse	618 NW Loop 410 	San Antonio	TX	78216	USA	(210) 677-8500															www.drafthouse.com/parknorth/	http://www.yelp.com/biz/owXE6zZ3BrEv8tWrA-LlOQ				https://www.facebook.com/SAdrafthouse
Merged-03-oct.tsv:bb29d570-c599-102f-b9fc-54704bd49ee0	All EyeCare Optometry	277 Hampshire Rd 	Thousand Oaks	CA	91361	USA	(805) 495-4625			9:00 AM	6:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	9:00 AM	6:00 PM	8:30 AM	5:00 PM	8:30 AM	2:00 PM	www.aecoptometry.net	http://www.yelp.com/biz/all-eyecare-optometry-thousand-oaks			 https://plus.google.com/101235328902153626022/about?hl=en	https://www.facebook.com/AECOptometry?sk=wall
Merged-03-oct.tsv:bb2f0940-b0d7-102f-ae57-1efac2fa2366	TPC Scottsdale	17020 N Hayden Rd. 	Scottsdale	AZ	85255	USA	(480) 585-4334															http://www.tpc.com/scottsdale/	http://www.yelp.com/biz/tpc-scottsdale-scottsdale	http://www.tripadvisor.com/Attraction_Review-g31350-d276276-Reviews-Tournament_Players_Club_TPC_of_Scottsdale_Stadium_Course-Scottsdale_Arizona.html		https://plus.google.com/104017927279134996844/about?hl=en	
Merged-03-oct.tsv:bb31e111-b398-102f-a3b7-d37adb04284d	B1 Bicycles	124 E Long St. 	Columbus	OH	43215	USA	(614) 222-0017															b1bicycles.com	http://www.yelp.com/biz/b1-bicycles-columbus		http://local.yahoo.com/info-38699647-b1-bicycles-columbus	https://plus.google.com/117545421335150058256/about?gl=US&hl=en-US	https://www.facebook.com/pages/B1-Bicycles/168888111559?fref=ts
Merged-03-oct.tsv:bb3300e0-b0d7-102f-bd7b-6f7b6c6156c3	Nashville Symphony	1 Symphony Pl. 	Nashville	TN	37201	USA	(615) 687-6400			10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	5:00 PM	www.nashvillesymphony.org	http://www.yelp.com/biz/schermerhorn-symphony-center-nashville#query:nashville%20symphony	http://bit.ly/tmQR4e	http://local.yahoo.com/info-84027057-schermerhorn-symphony-center-event-services-nashville?csz=Nashville%2C+TN	http://bit.ly/tPDblq	https://www.facebook.com/nashvillesymphony
Merged-03-oct.tsv:bb3dd360-c62d-102f-afef-b6947061cd85	Precision Tune Auto Care Sunnyvale	8390 Swanston Ln. 	Gilroy	CA	95020	USA	(408) 847-7595	9:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	precisiontune.com	http://www.yelp.com/biz/precision-tune-auto-care-gilroy		http://local.yahoo.com/info-21555860-precision-tune-auto-care-of-gilroy-gilroy;_ylt=AkBNbO83VI6LAuEBoIVzdk6HNcIF;_ylv=3?csz=Gilroy%2C+CA	https://plus.google.com/106025731478538224335/about?hl=en	https://www.facebook.com/PrecisionTuneAutoCareUSA
Merged-03-oct.tsv:bb43c310-c5ba-102f-aedf-68adb9c8caf5	Cinnamon Productions	22342 El Paseo Suite I	Rancho Santa Margarita	CA	92688	USA	(949) 459-7900	6:00 AM	4:00 PM	6:00 AM	4:00 PM	6:00 AM	8:00 PM	6:00 AM	8:00 PM	6:00 AM	8:00 PM	6:00 AM	9:00 PM	6:00 AM	9:00 PM	http://cinnamonproductions.com	http://goo.gl/yF650	http://www.tripadvisor.com/Restaurant_Review-g32946-d1089286-Reviews-Cinnamon_productions-Rancho_Santa_Margarita_California.html	http://local.yahoo.com/info-21052498-cinnamon-productions-rancho-sta-marg?csz=Coto+de+Caza%2C+CA	https://plus.google.com/103844790203156769818/about?hl=en	https://www.facebook.com/cinnamonproductions
Merged-03-oct.tsv:a3492d60-b0d7-102f-aee6-e25659955391	Museum of Science and Industry	5700 South Lake Shore Drive	Chicago	IL	60637	USA	(773) 684-1414	9:30 AM	4:00 PM	9:30 AM	4:00 PM	9:30 AM	4:00 PM	9:30 AM	4:00 PM	9:30 AM	4:00 PM	9:30 AM	4:00 PM	9:30 AM	4:00 PM	www.msichicago.org	http://www.yelp.com/biz/X7inrhYbhtjgJ4MrwtPlJQ	http://gr.pn/qKQihC	http://local.yahoo.com/info-95286201-museum-of-science-chicago	http://gr.pn/tgMF5s	http://www.facebook.com/msichicago?ref=ts&fref=ts
